"","Ab_5_Eye","Ab_6_Eye","Mz_1_Eye","Mz_2_Eye","Nb_4_Eye","Nb_5_Eye","On_1_Eye","On_2_Eye","On_3_Eye","Pn_2_Eye","Pn_3_Eye","Pn_4_Eye"
"snrpd2",0,0,9,0,0,0,3,7,72,1,4,5
"snrpe",5,20,2,0,0,0,1,1,28,3,3,1
"snrpg",3,29,1,1,0,0,0,1,39,17,8,9
"sntb1",1,5,6,0,0,0,1,0,6,0,2,0
"sntb2",5,23,8,14,0,0,9,0,19,16,12,5
"snu13a",0,0,1,4,0,0,2005,804,1074,2,0,1
"snw1",0,0,13,18,0,0,8,11,157,21,5,18
"snx12",7,18,2,0,0,0,4,2,76,3,7,14
"snx13",124,147,6,3,0,0,6,0,20,5,2,2
"snx14",2,7,0,3,0,0,284,234,370,3,4,0
"snx15",0,0,0,0,0,0,4,5,13,0,0,0
"snx18b",5,39,7,3,0,0,3,0,8,0,6,2
"snx1a",10,32,73,29,79,92,77,85,71,50,37,35
"snx21",1,26,5,1,0,0,2,2,12,0,1,3
"snx24",0,0,452,284,257,291,8,5,16,0,3,0
"snx25",0,0,2,6,0,0,11,3,24,8,0,4
"snx27a",7,9,19,9,0,0,17,0,40,15,6,7
"snx27b",0,0,6,17,0,0,4,0,5,3,2,1
"snx29",1,29,2,2,0,0,0,4,16,0,0,0
"snx3",3,29,349,499,0,0,5,13,80,75,61,100
"snx30",1526,1563,0,0,0,0,0,3,1,4,3,0
"snx33",6,52,9,6,36,72,6,1,16,2,1,2
"snx4",0,0,6,2,0,0,1,1,17,0,1,0
"snx5",0,0,6,1,0,0,0,4,45,0,1,1
"snx6",0,0,6,1,0,0,1,0,29,8,13,4
"snx7",4,51,13,3,0,0,1,10,17,9,6,17
"snx8a",63,103,109,109,0,0,58,46,76,9,22,26
"snx9b",844,884,9,21,59,94,55,2,61,31,12,25
"sobpb",0,0,6,0,0,0,0,5,14,0,1,0
"socs1b",1,35,3,2,0,0,0,1,34,1,0,2
"socs2",1,31,2,1,0,0,3,0,9,0,0,0
"socs9",0,0,0,2,0,0,8,2,14,1,3,2
"sod1",0,0,19,12,0,0,37,22,466,21,36,20
"sod3a",184,217,147,576,454,480,0,0,35,235,109,149
"soga3a",5,42,1,9,0,0,3,1,3,3,3,2
"sorbs1",0,0,12,10,1,43,17,5,8,12,13,9
"sorbs2a",0,0,18,32,0,0,30,5,64,28,32,23
"sorbs3",1,17,17,1,0,0,2,4,13,2,2,7
"sorcs2",0,0,0,0,0,0,16,3,16,8,7,3
"sort1a",0,0,8,5,0,0,7,0,21,0,1,1
"sos1",1,43,1,4,0,0,3,4,100,5,1,0
"sos2",17,65,6,7,0,0,5,2,22,9,10,10
"sost",1,6,16,6,0,0,6,14,138,4,7,7
"sostdc1a",0,0,3,0,0,0,3,9,139,1,2,4
"soul3",4,29,20,35,0,0,70,13,128,62,37,57
"soul4",6,30,2,2,0,0,1,1,59,4,6,5
"soul5",0,0,26,2,34,50,13,62,1820,12,39,24
"sowahca",97,117,0,1,0,0,3,0,2,1,1,0
"sowahd",3,44,1,0,20,35,11806,27387,43340,0,2,0
"sox10",1,48,6,0,0,0,16,25,20,0,2,1
"sox11a",2,25,0,1,0,0,2,0,12,9,1,3
"sox13",0,0,0,0,18,51,1,1,6,2,0,0
"sox17",3,25,2,1,0,0,0,1,75,8,4,5
"sox4a",0,0,2,3,0,0,6,2,17,3,2,5
"sox4b",0,0,5,0,0,0,0,2,10,0,1,1
"sox7",0,0,8,0,0,0,1,0,21,1,1,3
"sox8a",2,36,0,1,0,0,1,0,13,0,0,0
"sox9b",1,30,11,7,0,0,3,7,11,3,5,20
"sp1",0,0,2,0,0,0,2,1,14,2,2,7
"sp2",0,0,6,7,0,0,5,2,12,7,9,11
"spag7",0,0,1,3,0,0,3,7,49,7,5,2
"spag9a",5,36,2,4,0,0,6,2,14,2,1,0
"sparc",1,14,89,11,0,0,25,89,1919,19,37,50
"sparcl1",3,14,0,0,0,0,0,0,7,0,0,0
"spata2",1,9,3,2,1,13,5,0,4,2,2,1
"spata22",213,260,0,0,0,0,0,0,1,0,0,0
"spata5l1",1,2,0,3,230,251,0,3,7,1,2,0
"spc25",19,63,5,6,0,0,0,0,4,0,0,0
"spcs1",126,147,145,287,0,0,17,5,190,139,105,124
"spcs2",3,46,2,4,0,0,8,2,156,38,22,49
"spcs3",21,24,4,16,0,0,52,31,85,7,2,0
"spdya",313,328,355,866,204,214,0,0,1,312,112,108
"specc1",4,7,8,3,0,0,0,1,34,1,3,2
"specc1la",1,37,3,3,0,0,2,4,29,1,2,4
"spen",1,42,5,3,17,59,4,2,27,3,5,5
"spg11",3,46,2,4,33,57,7,21,58,3,1,2
"spg21",0,0,38,23,0,0,1,5,43,0,1,6
"spg7",32,33,0,4,1,28,4,0,13,86,3,11
"sphk2",1,10,4,3,7,21,0,5,19,1,0,2
"spi1b",0,0,24,4,0,0,0,1,36,1,5,13
"spire1a",5,22,1,0,0,0,0,2,8,0,0,1
"spire1b",6,12,8,3,0,0,2,2,14,0,1,1
"spns1",0,0,7,5,0,0,4,2,56,4,10,4
"spns3",0,0,1,2,0,0,3,1,6,5,6,2
