"species","gene_name","log2FoldChange","lfcSE","pvalue","padj"
"Pn","abca4b",0.962948943080262,0.884243829752647,0.185954911180931,0.353948561917157
"Pn","rpe65b",-0.649994302479512,0.60802885200926,0.241192693099968,0.423492608750443
"Pn","opn1sw2",0.664765674306627,0.90376756866276,0.36710222123581,0.556412660115019
"Pn","cnga3a",0.481394043028948,0.811021486756713,0.484269802256022,0.664165433176443
"Pn","rdh12",-0.593870174153555,1.39169517540982,0.49129149773982,0.670492130709777
"Pn","rcvrn3",0.431884519807589,0.773072127810426,0.516753756433253,0.691189552041772
"Pn","abca4a",0.275439179137529,0.706997278039873,0.659205095915677,0.800815866184374
"Pn","rdh5",-0.356089225132284,1.72623877932865,0.660735073431888,0.801846898813746
"Pn","cngb1b",0.25722307628006,0.96697704165459,0.736395114053205,0.849882962197462
"Pn","guca1c",-0.104135336825333,0.903026579777292,0.887452903053413,0.943039793538539
"Pn","NR2E3",0.0640354288057524,1.02497387028242,0.93503761485518,0.969335782518075
"Pn","rpe65a",0.0474467033998801,0.93796013959827,0.949664896410881,0.975406502919665
"Pn","cnga1a",1.97571780784958,0.974970668355167,NA,NA
"Pn","pax6b",1.57553331504161,1.30190353239875,0.0785166099052707,NA
"Pn","guca1d",-1.13675222138332,1.43362333215057,0.205813446256399,NA
"Pn","otx2b",-0.962350113366121,1.32865663949545,0.270907179922204,NA
"Pn","rx1",0.787621172354127,1.01781429997458,0.31702914230722,NA
"Pn","pde6b",-0.599266165195511,0.954680123363674,NA,NA
"Pn","rx2",-0.385946815831587,1.28239591870449,0.648471023227486,NA
