gene_id,module,species,module_size,module_trait_correlation,module_trait_direction,module_trait_expression_pattern,module_trait_pvalue,module_trait_FDR,MM,MM_pvalue,GS,GS_pvalue,aligned_GS,absolute_GS,passes_MM,passes_aligned_GS,passes_GS_pvalue,passes_all_support_criteria,exploratory_joint_score,MM_rank
nup50,lightgreen,Pn,70,0.8422028913680637,Positive,Pn higher,5.874521642419884e-4,0.035247129854519305,0.991885897330699,2.732566744573626e-10,0.8241531574271377,9.777038332387004e-4,0.8241531574271377,0.8241531574271377,TRUE,TRUE,TRUE,TRUE,0.8174658940925453,1
ppp4r3b,lightgreen,Pn,70,0.8422028913680637,Positive,Pn higher,5.874521642419884e-4,0.035247129854519305,0.9790213348259574,3.0895412385687385e-8,0.8901075272394301,1.0467460338255519e-4,0.8901075272394301,0.8901075272394301,TRUE,TRUE,TRUE,TRUE,0.8714342594565792,2
ugcg,lightgreen,Pn,70,0.8422028913680637,Positive,Pn higher,5.874521642419884e-4,0.035247129854519305,0.9770075660331581,4.869221895445611e-8,0.8486353787163734,4.8255177675069177e-4,0.8486353787163734,0.8486353787163734,TRUE,TRUE,TRUE,TRUE,0.8291231858093113,3
PIP4K2B,lightgreen,Pn,70,0.8422028913680637,Positive,Pn higher,5.874521642419884e-4,0.035247129854519305,0.9746263181631517,7.938028702625009e-8,0.8504511442961611,4.557545477922563e-4,0.8504511442961611,0.8504511442961611,TRUE,TRUE,TRUE,TRUE,0.8288720675430067,4
coa6,lightgreen,Pn,70,0.8422028913680637,Positive,Pn higher,5.874521642419884e-4,0.035247129854519305,0.9713832984848572,1.44052682626544e-7,0.8563443668468829,3.7665583416304587e-4,0.8563443668468829,0.8563443668468829,TRUE,TRUE,TRUE,TRUE,0.8318386157066516,5
pcyt1aa,lightgreen,Pn,70,0.8422028913680637,Positive,Pn higher,5.874521642419884e-4,0.035247129854519305,0.9696686618953677,1.9214370712652504e-7,0.8467421093233654,5.117786698967625e-4,0.8467421093233654,0.8467421093233654,TRUE,TRUE,TRUE,TRUE,0.8210592881180488,6
atp5f1b,lightgreen,Pn,70,0.8422028913680637,Positive,Pn higher,5.874521642419884e-4,0.035247129854519305,0.9650011807694652,3.899548650622417e-7,0.7586920125869825,0.004226396213079321,0.7586920125869825,0.7586920125869825,TRUE,TRUE,TRUE,TRUE,0.7321386879868,7
xaf1,lightgreen,Pn,70,0.8422028913680637,Positive,Pn higher,5.874521642419884e-4,0.035247129854519305,0.9547881687517833,1.3787990662680995e-6,0.7236824443534055,0.007799865041708488,0.7236824443534055,0.7236824443534055,TRUE,TRUE,TRUE,TRUE,0.6909634358020023,8
rxrbb,lightgreen,Pn,70,0.8422028913680637,Positive,Pn higher,5.874521642419884e-4,0.035247129854519305,0.9540489234981613,1.4933940783222612e-6,0.7334648148613566,0.006632853238185654,0.7334648148613566,0.7334648148613566,TRUE,TRUE,TRUE,TRUE,0.6997613170422554,9
rhof,lightgreen,Pn,70,0.8422028913680637,Positive,Pn higher,5.874521642419884e-4,0.035247129854519305,0.9539637191037211,1.5070732475597645e-6,0.7322696351563482,0.00676790688334081,0.7322696351563482,0.7322696351563482,TRUE,TRUE,TRUE,TRUE,0.698558664540475,10
