gene_id,module,MM.darkturquoise,MM.grey60,MM.lightcyan,MM.purple,MM.green,MM.salmon,MM.lightgreen,MM.greenyellow,MM.lightyellow,MM.royalblue,MM.red,MM.tan,MM.cyan,MM.darkgreen,MM.darkred,MM.blue,MM.magenta,MM.turquoise,MM.brown,MM.pink,MM.black,MM.midnightblue,MM.yellow,MM.grey,p.MM.darkturquoise,p.MM.grey60,p.MM.lightcyan,p.MM.purple,p.MM.green,p.MM.salmon,p.MM.lightgreen,p.MM.greenyellow,p.MM.lightyellow,p.MM.royalblue,p.MM.red,p.MM.tan,p.MM.cyan,p.MM.darkgreen,p.MM.darkred,p.MM.blue,p.MM.magenta,p.MM.turquoise,p.MM.brown,p.MM.pink,p.MM.black,p.MM.midnightblue,p.MM.yellow,p.MM.grey,GS.Ab,GS.Mz,GS.Nb,GS.On,GS.Pn,p.GS.Ab,p.GS.Mz,p.GS.Nb,p.GS.On,p.GS.Pn
AHCYL1,turquoise,-0.4104914455097266,-0.404423840923021,-0.35924616123760295,-0.38568409154350203,-0.2051108914971225,-0.10406821450984155,0.18812638380213859,0.19699075415438694,0.49004332863380834,0.5442595611524663,-0.0893536288642367,0.06720468432151652,-0.47704091757040984,-0.4089725962621865,-0.46209176422074894,0.5905512011556204,0.7351521640536458,0.8138836603505056,0.42797943950354167,0.5429470855677319,0.46340570617851706,0.503334037475484,0.25642731905920846,-0.19453529944359874,0.18501940396684408,0.19224274359409552,0.2514364029816621,0.21563658430879135,0.5224984193010337,0.7475569941637112,0.5581953313838217,0.5394409656135657,0.10581462581662728,0.06733068166195937,0.7824304096737278,0.8356053834783813,0.11684245848963022,0.18681148850938784,0.13042644357076816,0.043204016547330144,0.006445644097698714,0.001274908763306058,0.1651550796532704,0.06812630051805735,0.12919315224056105,0.09528157540497895,0.4211017915605626,0.5446092743069484,0.05837645757313807,-0.049595241984396715,-0.7319563862369008,0.7145921672873042,-0.09218208010707568,0.8569899461538198,0.8783485999433446,0.006803642536828095,0.009016136759694534,0.7756963552797146
AK6,red,0.4649464900596465,0.05025350451100287,0.053794451243806315,-0.0816785164088369,-0.4634713604960159,-0.519751423753715,-0.16513878032262264,0.12016695989735218,-0.10226507917989605,-0.11899751052748757,0.6653816692958908,0.2928916394545401,0.5441716069278261,0.3589795299817516,0.010204714088654615,-0.39059033051687836,-0.7533093106720391,-0.4903036838476963,-0.18215044232333705,-0.02887619945473366,-0.13890773413951238,-0.05557449316756159,0.21080421467954666,-0.006538055847723491,0.12775665704924302,0.8767447474166521,0.8681246901458396,0.800771555383756,0.12913172800758868,0.08327408775193375,0.6080227937006331,0.7098968331982929,0.7518084723843628,0.7126136540893073,0.01820322589859041,0.3555466244181491,0.06738379785031706,0.25181411428137884,0.9748903230145508,0.20935317575974327,0.004672897549593197,0.10560117204756088,0.5709866226320026,0.9290164245186922,0.6668000705381412,0.8637962866572231,0.5107585471041933,0.9839111701854588,0.15587691556782676,0.45082669621911653,0.05881040179814391,-0.8014196703202912,0.22863640559080262,0.6285555467541164,0.141314984047747,0.8559366265983659,0.0017238952089232789,0.47475760419358903
ALX4,turquoise,-0.10601130386955,-0.028459150957366088,-0.6246442053371044,-0.021970732968490496,-0.10161022184257613,0.1655442966180102,0.08710133839834784,0.15742877117077458,0.023645697371836076,-0.14448102118892117,-0.1384646662828524,0.11809828437446297,-0.45774602763906813,-0.4051074645054239,-0.28481521051805364,0.3246366188315493,0.4685741035262948,0.7640789574193297,0.3960269593845115,-0.0018492417758403136,0.446062509681569,0.33346811008847477,0.45627245926647286,0.2468142866787462,0.742982749117354,0.9300393850039522,0.029897310039878652,0.9459661837167777,0.7533540871891621,0.607129576690746,0.7878025707469924,0.625097831319299,0.9418527754150832,0.6541534277972345,0.6678089346064251,0.7147047917341852,0.13455993409094835,0.19142033983113632,0.36957365990904545,0.3032267199391096,0.12441586287580779,0.0038126624957448554,0.20252206510544357,0.9954491523173143,0.14609088767437198,0.2894845894887162,0.135980593859877,0.43931264998614816,0.1830524528689751,0.04330498460943946,-0.4839467033288894,0.4052413849500425,-0.1835438434387795,0.5690484110490719,0.8936951629511547,0.11089529107040488,0.19125948765263767,0.5679936398225106
AMDHD1,yellow,0.6599481811853594,0.3407947050435725,-0.009200844115934609,-0.1338771353064016,-0.45274589133540855,-0.45252855491810595,-0.3866553660123284,-0.05420416042696151,-0.2932268700061498,0.21632374578559177,0.45161762835152064,0.380640167565489,0.20261059021998776,-0.3484412061662728,-0.532699831068852,-0.14104774559199806,-0.3044817558218603,0.01866823325484527,0.22518022285382322,0.29045712469173607,0.526299412535141,0.4212443541793109,0.7241240074489144,-0.07980713448555518,0.01952656888279272,0.27835685196680227,0.9773598532620865,0.6782841463116916,0.1394198916027422,0.13963366950300488,0.2143837275645419,0.8671281303139124,0.35497058801548587,0.4994890698812391,0.1405319841067423,0.22221385523783824,0.5276906430249257,0.2670084350355028,0.07456201045360787,0.6619344264282394,0.33592000719237736,0.9540799856258562,0.4816420423046698,0.3597447609985136,0.07878633604456745,0.17263808450479481,0.007744096338647368,0.8052579769639109,0.18456705911596133,0.8826929066960306,-0.30246794276709416,-0.39048443503285774,-0.2677437357594021,0.5657998329468554,1.4322368747452094e-4,0.3392872723602195,0.20948760600425026,0.40015209787580985
AMZ2,green,0.228856947092264,0.5634610055511136,0.44452477182730116,0.5298597295897388,0.7430906306450908,0.6852592257358755,-0.316816147396663,-0.6105442308826543,-0.5664631793134031,-0.6662374030378913,-0.5386462579450272,-0.5143216076022636,0.09613448169407073,0.08414293675747085,0.3765751080385144,-0.3842303444375983,-0.26286763275803665,-0.6327452311139176,-0.48524131312006386,-0.7085550425031427,-0.4408139163542219,-0.40717108028320687,-0.5410095151254414,0.10767133087267636,0.47431985180448777,0.05641393369480873,0.14765425144130276,0.07641686389417844,0.005617633718014276,0.013916769008667442,0.3156936878030898,0.034979145905701434,0.0548266170214481,0.018000962384466142,0.07077882656417624,0.08712473698215378,0.7663101646515779,0.7948718326848178,0.22760143694014373,0.21752004343384335,0.4091135830351468,0.027230637110468085,0.10980317598972168,0.009898623416815253,0.15147101021063172,0.18895099730093784,0.06931266053099816,0.7390808924710215,-0.23759892209521277,-0.23759892209521277,0.9602779298264289,-0.11075157571504886,-0.30673888945053096,0.45711935354529043,0.45711935354529043,7.285153089542733e-7,0.7318558498594965,0.33216747117275025
ANKRD66,brown,0.47559918798621353,-0.3848476669073684,0.43337374228797865,0.5065126745371863,-0.668755745255102,0.11767932498722353,-0.42696330442319,0.33655981904423254,0.2563390090269108,-0.175819566249628,0.23635658734375317,-0.34552234761950057,-0.5450844612248671,0.2921708287945565,-0.33651872208795003,-0.5394325467608042,-0.38678397532246056,0.371944543742851,0.7016288819623091,0.6129685823575782,-0.313068782293821,0.40798704933942653,0.5011691648978321,0.3329517608351783,0.11811002437540603,0.2167190377648554,0.15931202634962932,0.0928711656453033,0.017415274882491193,0.7156796921362418,0.1662706849056466,0.28475860657465346,0.42126736699948664,0.584663818792932,0.45954560284127965,0.2713083658388881,0.06683392392735155,0.35678689093418925,0.2848211379563927,0.07028866750097092,0.21421816435465357,0.23383284194969395,0.010988554186528667,0.03406437045999199,0.3217660968681354,0.1879800691768452,0.09694707312136314,0.2902781769048764,0.9998607260922617,-0.1999721452184522,-0.19997214521845225,-0.2581629293788124,-0.25816292937881236,4.1257086518034023e-19,0.5331935831038326,0.5331935831038324,0.41785416140731535,0.41785416140731546
ANKS6,blue,-0.48815052742066534,-0.62901597485738,-0.7361468926235952,-0.5265967531157056,-0.4377649210620577,-0.49545281465051294,0.5594939433832257,0.5599983343234984,0.5851906824456529,0.26339438863773806,0.5275263172562855,0.42337559829919796,0.18661034578422306,0.3105519120545735,0.051265229490368464,0.5677010099410572,0.1607784233877541,0.39104376299042454,0.21609693825103604,0.07565920309737578,0.014762484566818135,0.06440949831302108,0.021965328792759843,0.10754883525639833,0.10737508394964927,0.028435919675418597,0.006337157629719527,0.07858655543216167,0.15465378273673197,0.10143837043633994,0.05856021170028559,0.05828421980705913,0.045623456990934334,0.40814069096926886,0.07796421950492907,0.17024757475161853,0.5614292359717056,0.3258802249974475,0.8742805172342325,0.05418133197811686,0.6176580890890111,0.20877815411184414,0.4999499531470597,0.8152212283705437,0.9636810025110717,0.8423657599047824,0.9459794574013235,0.7393686239314352,0.0024897531453958316,-0.12312732168882631,-0.6247894035493872,0.0330328400129241,0.6085285485935881,0.9938729237601598,0.7030333386261371,0.02984792345115586,0.9188263998646291,0.03575298472089481
ANOS1,brown,0.24965759992597686,-0.24108569263110988,0.12239002120441929,0.26836869994431517,-0.43945754002978127,-0.05418171440452055,-0.08843319724325834,0.3888111265812894,0.15787637990236897,0.36091615133264837,0.16678004629992288,0.036156006313746464,-0.44008625094319115,-0.0641772969721946,-0.3799980650590151,0.006009033941922941,0.0711451776049134,0.618401112009902,0.8972683543692779,0.6808879989806382,0.18247183669009762,0.42505634394232905,0.6029544630840459,-0.2710793882263961,0.43388717828381085,0.4503422376293754,0.7047408634982658,0.39901074321600083,0.15288168090479856,0.867182722513996,0.7846247815322823,0.21161877401581514,0.6241017906136244,0.2490782426980638,0.6044106776854845,0.9111772347466943,0.15222676437886123,0.8429278029099612,0.22305970913935902,0.9852128549666384,0.8260924089002004,0.032076913869085864,7.566995826015422e-5,0.014787676440424745,0.570295717715179,0.16837713122773215,0.037956512760748073,0.39407940332016,0.6036040455106628,0.025298856442887183,-0.5120208702171846,0.08583383709695579,-0.1864298731826961,0.037694868372956,0.9377941951436476,0.08879208419398311,0.79082956583475,0.5618147139368432
AP3B2,pink,0.0032829303685227053,-0.5063590285722341,0.3223317306700959,-0.036589959551613094,-0.5540050449873851,-0.2806760474861587,0.012871801307383933,0.4434070759493425,0.49029604623229456,0.7044300297264412,0.28518731619159066,0.023294097536952652,-0.2635067672248404,0.10395215651117481,-0.3186779031078745,0.036595648232152486,0.05326015820291188,0.4276505354606152,0.6717860058471655,0.9193299515024975,0.037299779074354306,0.36152046048874203,0.3200702023144948,-0.4161995934192282,0.9919210296429797,0.09298672330644941,0.3068720515053726,0.9101149432801765,0.06162265730518861,0.3768727179050356,0.9683302981586728,0.14879728175678394,0.10560742970827515,0.010537540559508703,0.36892112735642246,0.9427161356956917,0.40793328332608036,0.7478304456391117,0.31270050648010717,0.9101010186255571,0.86942454722204765,0.16551566116891608,0.016729207403878114,2.346971464526893e-5,0.90837763968968,0.24822812173880632,0.31047238522391274,0.1783801374865273,0.45742431466162736,-0.07641526428069616,-0.5479653128774818,0.09968272214663418,0.044010349896515644,0.1348692705833659,0.8134032675284212,0.06511891799280804,0.7579082394489857,0.8919724996993638
APBA3,turquoise,-0.00450076244502727,-0.5107177243051937,-0.44250490973691714,-0.08463280678309759,-0.5394082123722573,-0.14224688467673388,0.04540156260189915,0.3879274733375643,0.4476064372127634,-0.022952004892810074,0.39373667978324667,0.025195730138725544,-0.2518160432850476,0.18725022404886885,-0.3240530811632858,0.2671521521675605,0.039397405230004096,0.6097486542081292,0.5870357765173246,0.2485661244725529,-0.029172229137196883,0.4450722320072999,0.3451211603704723,0.2542260171590761,0.9889242040709014,0.08974597660722262,0.14972402105683663,0.793700268273928,0.07030380202681305,0.6592132238441749,0.8885761030412996,0.2127495057501521,0.14453196874754431,0.9435562052168833,0.20538294514151983,0.9380473360678017,0.4297904032679156,0.5600633643601329,0.3041473267367343,0.4012340079533324,0.903245819369012,0.035283129756851946,0.04478015401415209,0.43596601678412583,0.9282903656967115,0.1470964433704022,0.2719024719240177,0.42523864353714147,0.5068132256970296,-0.11051107614840457,-0.5492043004854866,0.058111293831051944,0.07348592487511665,0.09264539972962924,0.7324192563725636,0.06439078163925208,0.8576336877627525,0.8204515418946801
