"","Ab_5_Eye","Ab_6_Eye","Mz_1_Eye","Mz_2_Eye","Nb_4_Eye","Nb_5_Eye","On_1_Eye","On_2_Eye","On_3_Eye","Pn_2_Eye","Pn_3_Eye","Pn_4_Eye"
"rtn2b",5.79979785603634,5.29887711564616,0,1.43096097406538,52.8319484700227,43.3012518516403,0,0,0,50.4809911383024,39.0192227082785,22.6067007529097
"rtn4r",0,0,0.898317341713307,0.715480487032689,18.5625764894674,21.6506259258201,0,8.31803076060038,2.6574989518357,0.841349852305039,3.25160189235654,0.869488490496527
"rtn4rl2a",7.73306380804846,5.29887711564616,0.898317341713307,1.43096097406538,0,0,3.92371899690109,0,0,0.841349852305039,5.4193364872609,4.34744245248264
"rufy1",1.93326595201211,23.3150593088431,3.59326936685323,2.14644146109807,0,0,1.96185949845054,12.4770461409006,24.5818653044802,732.815721357689,605.881819275769,832.969973895673
"rufy2",11.5995957120727,4.23910169251693,2.69495202513992,0,0,0,23.5423139814065,0,5.97937264163033,17.6683468984058,20.5934786515914,38.2574935818472
"rufy3",226.192116385417,85.3119215619032,65.5771659450714,85.8576584439227,0,0,19.6185949845054,4.15901538030019,34.5474863738641,14.3029474891857,1.08386729745218,5.21693094297916
"rundc3aa",0,0,0.898317341713307,0.715480487032689,0,0,1.96185949845054,79.0212922257036,12.6231200212196,0,0,0
"rundc3b",32.865521184206,28.6139364244893,208.409623277487,319.819777703612,0,0,0,0,0,3.36539940922016,7.58707108216526,2.60846547148958
"ruvbl1",0,0,1510.96976876178,210.351263187611,177.058421899536,125.14061785124,19.6185949845054,0,20.5956168767267,3.36539940922016,4.33546918980872,5.21693094297916
"ruvbl2",3.86653190402423,24.9047224435369,4.49158670856653,1.43096097406538,0,0,3.92371899690109,12.4770461409006,9.30124633142495,0.841349852305039,2.16773459490436,1.73897698099305
"rwdd",7.73306380804846,14.3069682122446,8.08485607541976,6.4393243832942,0,0,3.92371899690109,0,14.6162442350964,0,2.16773459490436,0.869488490496527
"rwdd1",7.73306380804846,23.3150593088431,3.59326936685323,2.86192194813076,0,0,0,4.15901538030019,27.9037389942749,3.36539940922016,5.4193364872609,4.34744245248264
"rx1",1.93326595201211,13.2471927891154,0.898317341713307,3.57740243516345,0,0,11.7711569907033,0,2.6574989518357,7.57214867074535,3.25160189235654,1.73897698099305
"rx2",0,0,4.49158670856653,8.58576584439227,0,0,19.6185949845054,0,10.6299958073428,1.68269970461008,0,0
"rxfp3.3b",1.93326595201211,10.5977542312923,0,0,0,0,23.5423139814065,4.15901538030019,0,0,2.16773459490436,3.47795396198611
"rxrbb",0,0,0.898317341713307,0,0,0,1.96185949845054,0,19.9312421387678,273.438701999138,170.167165699992,249.543196772503
"rxylt1",75.3973721284725,43.4507923482985,4.49158670856653,67.9706462681055,59.2574557163769,48.0643895553207,4518.1624249316,2362.32073601051,482.33605975818,34.4953439445066,39.0192227082785,20.8677237719167
"rybpa",0,0,2.69495202513992,2.86192194813076,0,0,11.7711569907033,0,3.32187368979463,1.68269970461008,5.4193364872609,6.08641943347569
"ryk",5.79979785603634,3.1793262693877,5.38990405027984,0,0,0,0,0,3.32187368979463,0,2.16773459490436,0.869488490496527
"ryr3",19.3326595201211,21.1955084625846,3.59326936685323,17.8870121758172,39.2669887277196,38.9711266664763,70.6269419442195,95.6573537469044,5.3149979036714,12.6202477845756,6.50320378471308,3.47795396198611
"s100a10a",1.93326595201211,2.11955084625846,8.98317341713307,2.86192194813076,0,0,5.88557849535163,16.6360615212008,64.4443495820158,0,1.08386729745218,5.21693094297916
"s100b",0,0,0,0.715480487032689,0,0,15.6948759876043,24.9540922818012,93.0124633142495,5.04809911383024,4.33546918980872,6.08641943347569
"s100t",1245.0232730958,366.15240869115,0,2.14644146109807,12.1370692431133,15.5884506665905,35.3134709721098,0,1.32874947591785,1.68269970461008,1.08386729745218,1.73897698099305
"s100u",0,0,11.678125442273,0.715480487032689,0,0,5.88557849535163,45.7491691833021,15.9449937110142,2.52404955691512,0,2.60846547148958
"s1pr2",0,0,5.38990405027984,0,15.7067954910878,22.5166509628529,0,0,9.30124633142495,1.68269970461008,0,0.869488490496527
"saal1",0,0,2.69495202513992,0,0,0,25.5041734798571,8.31803076060038,25.9106147803981,0,0,1.73897698099305
"sacm1la",0,0,5.38990405027984,5.72384389626151,0,0,5.88557849535163,8.31803076060038,9.96562106938388,4.2067492615252,9.75480567706962,2.60846547148958
"sacs",7.73306380804846,22.2552838857139,0,0,0,0,11.7711569907033,0,3.32187368979463,4.2067492615252,1.08386729745218,4.34744245248264
"saga",9.66632976006057,25.4346101551016,27.8478375931125,134.510331562146,0,0,578.74855204291,70.7032614651033,254.455524638268,185.096967507109,191.844511649036,113.902992255045
"sall1a",1.93326595201211,3.70921398095231,0.898317341713307,9.30124633142496,45.6924959740737,38.1051016294435,33.3516114736592,0,10.6299958073428,2.52404955691512,9.75480567706962,2.60846547148958
"sall3a",46.3983828482908,32.3231504054416,0.898317341713307,5.00836340922882,0,0,19.6185949845054,0,11.9587452832607,2.52404955691512,0,0
"samd11",9.66632976006057,3.70921398095231,5.38990405027984,12.8786487665884,0,0,15.6948759876043,12.4770461409006,6.64374737958925,2.52404955691512,8.67093837961744,4.34744245248264
"samd13",15.4661276160969,6.88854025034001,0,0.715480487032689,0,0,0,0,3.98624842775355,10.0961982276605,496.411222233099,11.3033503764549
"samd4a",83.1304359365209,32.8530381170062,0,1.43096097406538,0.713945249594902,5.19615022219683,0,4.15901538030019,1.32874947591785,0,4.33546918980872,0.869488490496527
"samd7",1.93326595201211,13.2471927891154,6.28822139199315,15.7405707147192,0.713945249594902,14.2894131110413,37.2753304705603,0,5.3149979036714,15.9856471937957,4.33546918980872,9.5643733954618
"samsn1a",0,0,3.59326936685323,2.14644146109807,0,0,5.88557849535163,4.15901538030019,32.5543621599873,0,4.33546918980872,5.21693094297916
"sap130a",0,0,2.69495202513992,0,4.99761674716431,16.4544757036233,0,4.15901538030019,11.9587452832607,0,2.16773459490436,1.73897698099305
"sap30l",9.66632976006057,10.5977542312923,3.59326936685323,2.86192194813076,0,0,0,12.4770461409006,2.6574989518357,0,8.67093837961744,5.21693094297916
"sar1b",3.86653190402423,21.1955084625846,26.0512029096859,9.30124633142496,0,0,1.96185949845054,24.9540922818012,15.9449937110142,10.9375480799655,18.4257440566871,19.9982352814201
"sarm1",1.93326595201211,22.2552838857139,65.5771659450714,44.3597901960267,0,0,0,0,7.30812211754818,0,0,0
"sars1",3.86653190402423,1.58966313469385,7.18653873370646,3.57740243516345,0,0,7.84743799380217,4.15901538030019,39.8624842775355,7.57214867074535,2.16773459490436,7.82539641446875
"sars2",0,0,17.0680294925528,31.4811414294383,0,0,96.1311154240766,74.8622768454035,5.3149979036714,51.3223409906074,11.922540271974,23.4761892434062
"sart3",578.046519651622,175.392832527888,722.247142737499,694.016072421708,0,0,31.3897519752087,33.2721230424015,31.2256126840695,843.032552009649,944.048416080849,839.056393329149
"sash1a",1.93326595201211,3.70921398095231,7.18653873370646,1.43096097406538,14.278904991898,26.4137636295006,0,12.4770461409006,19.2668674008088,6.73079881844031,2.16773459490436,3.47795396198611
"sash3",1.93326595201211,7.94831567346924,3.59326936685323,0.715480487032689,0,0,0,29.1131076621013,84.3755917207835,0.841349852305039,3.25160189235654,5.21693094297916
"sass6",1509.88070852146,418.611292136047,744.705076280331,4908.19614104425,0,0,39.2371899690108,0,5.97937264163033,0,29.2644170312089,4.34744245248264
"satb1b",3.86653190402423,25.4346101551016,0,0,0,0,15.6948759876043,4.15901538030019,7.9724968555071,2.52404955691512,0,1.73897698099305
"satb2",1.93326595201211,5.29887711564616,0,0,0,0,0,4.15901538030019,9.30124633142495,0,0,2.60846547148958
"sav1",0,0,57.4923098696516,829.957364957919,0,0,0,0,15.2806189730553,59.7358395136578,52.0256302777047,46.0828899963159
