species,gene_name,visual_category,log2FoldChange,padj,direction,WGCNA_module,module_trait_correlation,module_trait_FDR,MM,MM_pvalue,GS,GS_pvalue,species_associated_module,supported_hub,evidence_class
Nb,cngb1b,CNG channel,-4.49489306363591,0.0137382057385381,Nb lower,turquoise,-0.7560952189111962,0.17750278625125038,0.811099241795091,0.00136633239027895,-0.5262832518541275,0.07879720418694947,FALSE,FALSE,DE only
Nb,pde6a,Phototransduction,-2.4711932992753,0.0180350416422154,Nb lower,blue,-0.5245093931458347,0.25944765385749297,0.7866789234857575,0.0024012191833313,-0.536139004845118,0.07235749150498234,FALSE,FALSE,DE only
Nb,nr2e3,Photoreceptor regulation,-4.43414099589879,0.0184488941829772,Nb lower,magenta,-0.4038750649358604,0.39911275940489477,0.8411326819374478,6.064935861507699e-4,-0.44323028175489904,0.14897860108940425,FALSE,FALSE,DE only
Nb,rdh8a,Visual cycle,-1.88493023524026,0.0246922278646102,Nb lower,blue,-0.5245093931458347,0.25944765385749297,0.7911048238065811,0.00217964196066407,-0.4664584056018307,0.1263572489409921,FALSE,FALSE,DE only
Nb,six7,Retinal regulation,-4.11785407139684,0.0262361889361451,Nb lower,blue,-0.5245093931458347,0.25944765385749297,0.7766467874691363,0.00296696583369793,-0.5540011196324983,0.06162488632764446,FALSE,FALSE,DE only
Nb,gnat2,Phototransduction,-2.06071691754821,0.0358366303000065,Nb lower,yellow,-0.5524483624880374,0.2554416259529368,0.8038164506357466,0.00162935939100464,-0.19448413440919635,0.544717187321565,FALSE,FALSE,DE only
On,gngt1,Phototransduction,4.70912133628811,8.170807092997331e-9,On higher,blue,0.6111595908739309,0.22300536578542135,0.899318311450282,6.865908377334946e-5,0.46713123728345424,0.125737719456451,FALSE,FALSE,DE only
On,cnga1b,CNG channel,7.07616066368571,1.4073772960478e-8,On higher,black,0.3629991923892552,0.4319944103845951,0.7757802268437313,0.00302020336438509,0.6896088582029497,0.0130883504885755,FALSE,FALSE,DE only
On,abca4a,Visual cycle,4.35588684600711,4.88562659130577e-8,On higher,green,0.3832123117419739,0.4103341677449856,0.7208743174028153,0.00816159352513431,0.7807178651174851,0.00272635335582944,FALSE,FALSE,DE only
On,rpe65a,Visual cycle,5.88712823649074,1.48663007114256e-7,On higher,green,0.3832123117419739,0.4103341677449856,0.6385387172261918,0.02543204818584354,0.6265689582203968,0.02924740081867558,FALSE,FALSE,DE only
On,cngb1b,CNG channel,5.11652663142096,2.82896979177123e-6,On higher,turquoise,0.6191755265029705,0.22300536578542135,0.811099241795091,0.00136633239027895,0.7996905047505557,0.00179466800717023,FALSE,FALSE,DE only
On,guca1b,Photoreceptor recovery,4.2303839405059,2.9214920350253e-6,On higher,blue,0.6111595908739309,0.22300536578542135,0.849853563651548,4.644427417359227e-4,0.4787275151751395,0.1153710223789484,FALSE,FALSE,DE only
On,arr3a,Photoreceptor recovery,4.34878062243054,1.07487126196347e-5,On higher,blue,0.6111595908739309,0.22300536578542135,0.7730223824996949,0.00319448275565189,0.37167323626924387,0.2342010590360439,FALSE,FALSE,DE only
On,opn1lw1,Opsin / photopigment,4.67086271307234,2.09199616824581e-5,On higher,lightyellow,0.22590033884682767,0.60679411217905,0.8605077721304568,3.2754081740166797e-4,0.3203320655171615,0.31005430732976125,FALSE,FALSE,DE only
On,pde6ga,Phototransduction,4.8559655273466404,5.05936490011024e-5,On higher,turquoise,0.6191755265029705,0.22300536578542135,0.7864175227147054,0.00241482315585698,0.6086187732690209,0.03571808757460454,FALSE,FALSE,DE only
On,rdh8a,Visual cycle,2.72434837965901,1.0754997905528e-4,On higher,blue,0.6111595908739309,0.22300536578542135,0.7911048238065811,0.00217964196066407,0.7261715270512518,0.00748939092960072,FALSE,FALSE,DE only
On,pde6c,Phototransduction,3.95767871545905,3.482676200304e-4,On higher,blue,0.6111595908739309,0.22300536578542135,0.6316700128101932,0.02757428254117904,0.5425992844758224,0.06833821793899246,FALSE,FALSE,DE only
On,pde6a,Phototransduction,2.93568314230975,6.8968385526378e-4,On higher,blue,0.6111595908739309,0.22300536578542135,0.7866789234857575,0.0024012191833313,0.5142996719814834,0.0871405328964078,FALSE,FALSE,DE only
On,abca4b,Visual cycle,3.426079013433,0.00100047379322557,On higher,turquoise,0.6191755265029705,0.22300536578542135,0.5546613325602683,0.06125076895870668,0.5068426821177131,0.09262329276890782,FALSE,FALSE,DE only
On,gnat1,Phototransduction,2.41738575599034,0.00146996518922097,On higher,blue,0.6111595908739309,0.22300536578542135,0.7232496306987828,0.00785481997453543,0.44263880003098904,0.14958625092581512,FALSE,FALSE,DE only
On,rgs9b,Photoreceptor recovery,3.48565632403099,0.00210027205208366,On higher,blue,0.6111595908739309,0.22300536578542135,0.8108663534767789,0.00137420123824021,0.4698041010593258,0.12329623130886008,FALSE,FALSE,DE only
On,cnga3a,CNG channel,2.86272615768502,0.00312765494602688,On higher,black,0.3629991923892552,0.4319944103845951,0.6073510702179594,0.03621064630874683,0.29517990921236603,0.35162448205212615,FALSE,FALSE,DE only
On,six7,Retinal regulation,3.34654371885334,0.00542874440478947,On higher,blue,0.6111595908739309,0.22300536578542135,0.7766467874691363,0.00296696583369793,0.5302455472869891,0.0761630560032725,FALSE,FALSE,DE only
On,rdh5,Visual cycle,4.0997870032614,0.0213162912809497,On higher,blue,0.6111595908739309,0.22300536578542135,0.6312445536566887,0.02771112244044754,0.7302054693092005,0.00700600392173677,FALSE,FALSE,DE only
On,rx2,Retinal regulation,3.36627173880393,0.0231306928950486,On higher,blue,0.6111595908739309,0.22300536578542135,0.5165674487988343,0.08551774031198775,0.47834700277581454,0.11570191847540924,FALSE,FALSE,DE only
On,rcvrn3,Photoreceptor recovery,1.91145142836938,0.0436491983105481,On higher,royalblue,0.13039713739981995,0.7769043808518864,0.6618217617377714,0.01906256392763336,0.07033091156421306,0.8280564581688693,FALSE,FALSE,DE only
Pn,gngt1,Phototransduction,3.68954699131481,2.74479560571534e-6,Pn higher,blue,0.23158457594357873,0.6050596647243174,0.899318311450282,6.865908377334946e-5,0.37574411491813425,0.22871231706143455,FALSE,FALSE,DE only
Pn,arr3a,Photoreceptor recovery,3.36985362426224,3.2834833011433e-4,Pn higher,blue,0.23158457594357873,0.6050596647243174,0.7730223824996949,0.00319448275565189,0.420521689481735,0.1734534192315873,FALSE,FALSE,DE only
Pn,opn1lw1,Opsin / photopigment,3.47978669801639,8.2974012452518e-4,Pn higher,lightyellow,0.3966725709066531,0.4034400716411257,0.8605077721304568,3.2754081740166797e-4,0.4029393921885212,0.1940360441910376,FALSE,FALSE,DE only
Pn,guca1b,Photoreceptor recovery,2.74707617684128,0.00134242044178706,Pn higher,blue,0.23158457594357873,0.6050596647243174,0.849853563651548,4.644427417359227e-4,0.35180375978088024,0.2621040085634901,FALSE,FALSE,DE only
Pn,rgs9a,Photoreceptor recovery,-2.76800709799978,0.00292560065450535,Pn lower,lightcyan,-0.3000219675783688,0.5025387803860338,0.8415413456850518,5.991669698779859e-4,-0.510756003002551,0.08971785869823594,FALSE,FALSE,DE only
Pn,gnat2,Phototransduction,-2.27199630676202,0.00499667257972277,Pn lower,yellow,-0.3013011598833346,0.5025387803860338,0.8038164506357466,0.00162935939100464,-0.4056448471141377,0.19077539316098768,FALSE,FALSE,DE only
Pn,guca1a,Photoreceptor recovery,2.04386867935171,0.0164696686866816,Pn higher,royalblue,0.44767575134524196,0.3356980473144965,0.8720622464907434,2.1692913429959877e-4,0.4273608296713294,0.16583368075434018,FALSE,FALSE,DE only
Pn,rcvrn2,Photoreceptor recovery,-1.41867311283575,0.0189939535648908,Pn lower,turquoise,-0.18966476099494292,0.6794958180364775,0.361321890396203,0.24850727485445384,-0.6810848913610564,0.01474760610945131,FALSE,FALSE,DE only
Pn,cnga1b,CNG channel,-3.03886619360878,0.023851404446643,Pn lower,black,-0.24122004932744578,0.6001094067569378,0.7757802268437313,0.00302020336438509,-0.46647717461415594,0.12633993983286204,FALSE,FALSE,DE only
Pn,pde6a,Phototransduction,1.83210588577823,0.026630741161774,Pn higher,blue,0.23158457594357873,0.6050596647243174,0.7866789234857575,0.0024012191833313,0.45805403325718463,0.13426420929259705,FALSE,FALSE,DE only
Ab,otx2b,Photoreceptor regulation,3.8565537246606,0.0170192975085408,Ab higher,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,DE only
Nb,rx1,Retinal regulation,-4.79827738422544,0.0119520549281127,Nb lower,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,DE only
