species,gene_name,visual_category,log2FoldChange,padj,direction,WGCNA_module,module_trait_correlation,module_trait_FDR,module_expression_pattern,species_associated_module,evidence_class
On,rgs9b,Photoreceptor recovery,3.48565632403099,0.00210027205208366,On higher,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
On,cnga3a,CNG channel,2.86272615768502,0.00312765494602688,On higher,black,0.3629991923892552,0.4319944103845951,On higher,FALSE,DE only
On,six7,Retinal regulation,3.34654371885334,0.00542874440478947,On higher,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
On,rdh5,Visual cycle,4.0997870032614,0.0213162912809497,On higher,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
On,rx2,Retinal regulation,3.36627173880393,0.0231306928950486,On higher,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
On,rcvrn3,Photoreceptor recovery,1.91145142836938,0.0436491983105481,On higher,royalblue,0.13039713739981995,0.7769043808518864,On higher,FALSE,DE only
Pn,gngt1,Phototransduction,3.68954699131481,2.74479560571534e-6,Pn higher,blue,0.23158457594357873,0.6050596647243174,Pn higher,FALSE,DE only
Pn,arr3a,Photoreceptor recovery,3.36985362426224,3.2834833011433e-4,Pn higher,blue,0.23158457594357873,0.6050596647243174,Pn higher,FALSE,DE only
Pn,opn1lw1,Opsin / photopigment,3.47978669801639,8.2974012452518e-4,Pn higher,lightyellow,0.3966725709066531,0.4034400716411257,Pn higher,FALSE,DE only
Pn,guca1b,Photoreceptor recovery,2.74707617684128,0.00134242044178706,Pn higher,blue,0.23158457594357873,0.6050596647243174,Pn higher,FALSE,DE only
Pn,rgs9a,Photoreceptor recovery,-2.76800709799978,0.00292560065450535,Pn lower,lightcyan,-0.3000219675783688,0.5025387803860338,Pn lower,FALSE,DE only
Pn,gnat2,Phototransduction,-2.27199630676202,0.00499667257972277,Pn lower,yellow,-0.3013011598833346,0.5025387803860338,Pn lower,FALSE,DE only
Pn,guca1a,Photoreceptor recovery,2.04386867935171,0.0164696686866816,Pn higher,royalblue,0.44767575134524196,0.3356980473144965,Pn higher,FALSE,DE only
Pn,rcvrn2,Photoreceptor recovery,-1.41867311283575,0.0189939535648908,Pn lower,turquoise,-0.18966476099494292,0.6794958180364775,Pn lower,FALSE,DE only
Pn,cnga1b,CNG channel,-3.03886619360878,0.023851404446643,Pn lower,black,-0.24122004932744578,0.6001094067569378,Pn lower,FALSE,DE only
Pn,pde6a,Phototransduction,1.83210588577823,0.026630741161774,Pn higher,blue,0.23158457594357873,0.6050596647243174,Pn higher,FALSE,DE only
