gene_name.x,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,sig,species,gene_match,gene_name.y,visual_category,significant,direction,gene_name,dataset_gene_name,WGCNA_module,module_trait_correlation,module_trait_FDR,module_expression_pattern,species_associated_module,evidence_class,MM,MM_pvalue,GS,GS_pvalue,supported_hub,passes_MM,passes_aligned_GS,passes_GS_pvalue,passes_all_support_criteria,exploratory_joint_score,supported_hub_rank
rdh5,29.1153481606706,-0.990311584119188,2.57551743614258,0.531104215252063,0.582812381423468,Ab_vs_rest,Not significant,Ab,rdh5,rdh5,Visual cycle,FALSE,Not significant,rdh5,rdh5,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant integrated evidence,0.6312445536566887,0.02771112244044754,-0.23830947397513053,0.4557343881101744,FALSE,NA,NA,NA,NA,NA,NA
guca1a,24.0699651560929,0.549413233986772,0.96732194296996,0.551450122017921,0.601911089276845,Ab_vs_rest,Not significant,Ab,guca1a,guca1a,Photoreceptor recovery,FALSE,Not significant,guca1a,guca1a,royalblue,-0.1769120618852707,0.7058114907553008,Ab lower,FALSE,No significant integrated evidence,0.8720622464907434,2.1692913429959877e-4,-0.21410196402750284,0.5040119845301354,FALSE,NA,NA,NA,NA,NA,NA
rdh12,4.65037736506299,-0.82628590028867,1.98588239053759,0.598105057353101,0.643775704388771,Ab_vs_rest,Not significant,Ab,rdh12,rdh12,Visual cycle,FALSE,Not significant,rdh12,rdh12,magenta,-0.38686907335295995,0.4103341677449856,Ab lower,FALSE,No significant integrated evidence,0.8992384011690393,6.89224433137074e-5,-0.25321624138516124,0.42714293667366354,FALSE,NA,NA,NA,NA,NA,NA
pde6c,46.0198659559165,0.107590261523875,1.20983258666808,0.923541166280366,0.934786720816504,Ab_vs_rest,Not significant,Ab,pde6c,pde6c,Phototransduction,FALSE,Not significant,pde6c,pde6c,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant integrated evidence,0.6316700128101932,0.02757428254117904,-0.24193357157803372,0.4487015155598676,FALSE,NA,NA,NA,NA,NA,NA
rcvrn2,327.80690955634,0.0350976255199594,0.625668223675975,0.954392195982789,0.960167640436543,Ab_vs_rest,Not significant,Ab,rcvrn2,rcvrn2,Photoreceptor recovery,FALSE,Not significant,rcvrn2,rcvrn2,turquoise,0.36933643495090507,0.4319944103845951,Ab higher,FALSE,No significant integrated evidence,0.361321890396203,0.24850727485445384,-0.02438243479191079,0.9400438895795622,FALSE,NA,NA,NA,NA,NA,NA
pde6b,141.919563851369,-2.51570822044147,1.27999578996287,NA,NA,Ab_vs_rest,Not significant,Ab,pde6b,pde6b,Phototransduction,FALSE,Not significant,pde6b,pde6b,green,-0.669255807988998,0.22300536578542135,Ab lower,FALSE,No significant integrated evidence,0.5010547987223853,0.09703559749143058,-0.3119181480982537,0.3236433969861169,FALSE,NA,NA,NA,NA,NA,NA
pax6b,1.97341671449506,-1.76863534317804,1.85070886740847,0.243737641294587,NA,Ab_vs_rest,Not significant,Ab,pax6b,pax6b,Retinal regulation,FALSE,Not significant,pax6b,NA,NA,NA,NA,NA,NA,No significant integrated evidence,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
cnga1a,246.561509333681,1.74221081264197,1.13042375641105,NA,NA,Ab_vs_rest,Not significant,Ab,cnga1a,cnga1a,CNG channel,FALSE,Not significant,cnga1a,cnga1a,pink,0.6129723204851442,0.22300536578542135,Ab higher,FALSE,No significant integrated evidence,0.7136862352056048,0.0091446655012066,0.08592857902804696,0.7906032147223414,FALSE,NA,NA,NA,NA,NA,NA
rpe65b,43.1908612564652,3.42733613282825,0.767067018954224,4.54802922239616e-7,3.91600262623218e-6,Mz_vs_rest,Mz higher,Mz,rpe65b,rpe65b,Visual cycle,TRUE,Mz higher,rpe65b,rpe65b,black,0.6822344185504048,0.22300536578542135,Mz higher,FALSE,DE only,0.6724854270045043,0.01657371743113325,0.8119738151934709,0.00133709104113678,FALSE,NA,NA,NA,NA,NA,NA
guca1c,435.620949827032,5.44671516643818,1.24726215132258,1.22678557660449e-6,9.98487313976018e-6,Mz_vs_rest,Mz higher,Mz,guca1c,guca1c,Photoreceptor recovery,TRUE,Mz higher,guca1c,guca1c,yellow,0.5602752331176636,0.2554416259529368,Mz higher,FALSE,DE only,0.764709649381022,0.00376631303936747,0.5677516446736531,0.05415504956385444,FALSE,NA,NA,NA,NA,NA,NA
cnga1b,91.880106660169,6.12668335882782,1.46871029734687,2.43514122113306e-6,1.86085374981585e-5,Mz_vs_rest,Mz higher,Mz,cnga1b,cnga1b,CNG channel,TRUE,Mz higher,cnga1b,cnga1b,black,0.6822344185504048,0.22300536578542135,Mz higher,FALSE,DE only,0.7757802268437313,0.00302020336438509,0.46340774310141986,0.12919124626966852,FALSE,NA,NA,NA,NA,NA,NA
gnat2,223.287627767456,3.47720753967078,0.987953328253961,2.57243239187263e-5,1.6991024033713e-4,Mz_vs_rest,Mz higher,Mz,gnat2,gnat2,Phototransduction,TRUE,Mz higher,gnat2,gnat2,yellow,0.5602752331176636,0.2554416259529368,Mz higher,FALSE,DE only,0.8038164506357466,0.00162935939100464,0.602775111785604,0.03802898075885693,FALSE,NA,NA,NA,NA,NA,NA
guca1a,24.0699651560929,2.78869494576598,1.03319120373073,5.7714502719294e-4,0.00292707708317283,Mz_vs_rest,Mz higher,Mz,guca1a,guca1a,Photoreceptor recovery,TRUE,Mz higher,guca1a,guca1a,royalblue,0.1925996462561018,0.6788016468026334,Mz higher,FALSE,DE only,0.8720622464907434,2.1692913429959877e-4,0.40276799912272576,0.19424375846888933,FALSE,NA,NA,NA,NA,NA,NA
gngt1,230.427175935877,2.50159334804659,0.935726119945574,7.6719621922774e-4,0.00377559355831041,Mz_vs_rest,Mz higher,Mz,gngt1,gngt1,Phototransduction,TRUE,Mz higher,gngt1,gngt1,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,DE only,0.899318311450282,6.865908377334946e-5,0.13279399045530563,0.6807651358920758,FALSE,NA,NA,NA,NA,NA,NA
opn1lw1,36.4101305274267,-4.45082845497492,1.94253720054943,0.00109540670932955,0.005151220269001,Mz_vs_rest,Other species higher,Mz,opn1lw1,opn1lw1,Opsin / photopigment,TRUE,Mz lower,opn1lw1,opn1lw1,lightyellow,-0.44577691973802913,0.3356980473144965,Mz lower,FALSE,DE only,0.8605077721304568,3.2754081740166797e-4,-0.5133150955882103,0.08785152722292187,FALSE,NA,NA,NA,NA,NA,NA
arr3a,265.827696270724,2.47308028904826,1.15693889465555,0.0038262877053571,0.0156872093553463,Mz_vs_rest,Mz higher,Mz,arr3a,arr3a,Photoreceptor recovery,TRUE,Mz higher,arr3a,arr3a,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,DE only,0.7730223824996949,0.00319448275565189,0.1594820462027988,0.6205335437437463,FALSE,NA,NA,NA,NA,NA,NA
guca1b,91.2242424948658,2.11863611767426,1.00969040572235,0.00580605189344029,0.0223547218458422,Mz_vs_rest,Mz higher,Mz,guca1b,guca1b,Photoreceptor recovery,TRUE,Mz higher,guca1b,guca1b,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,DE only,0.849853563651548,4.644427417359227e-4,0.15067394268151466,0.6401981345314252,FALSE,NA,NA,NA,NA,NA,NA
rcvrn2,327.80690955634,1.17539574915516,0.597778330076277,0.0249390651380337,0.0743711308343965,Mz_vs_rest,Not significant,Mz,rcvrn2,rcvrn2,Photoreceptor recovery,FALSE,Not significant,rcvrn2,rcvrn2,turquoise,-0.11228762858852552,0.8017544494121127,Mz lower,FALSE,No significant integrated evidence,0.361321890396203,0.24850727485445384,0.5080626273992481,0.09171084523091634,FALSE,NA,NA,NA,NA,NA,NA
