Gene	Pn_2_Eye	Pn_3_Eye	Pn_4_Eye
ENSPNYG00000000412	7	2	2
ENSPNYG00000000413	0	0	0
ENSPNYG00000000414	26	43	126
ENSPNYG00000000415	2	1	0
ENSPNYG00000000416	3	7	7
ENSPNYG00000000417	1	1	0
ENSPNYG00000000418	0	0	0
ENSPNYG00000000419	0	0	1
ENSPNYG00000000420	0	1	0
ENSPNYG00000000421	8	2	3
ENSPNYG00000000422	7	3	1
ENSPNYG00000000423	0	0	0
ENSPNYG00000000424	3	2	1
ENSPNYG00000000425	226	196	175
ENSPNYG00000000426	8	9	17
ENSPNYG00000000427	0	0	0
ENSPNYG00000000428	2	2	1
ENSPNYG00000000429	0	0	0
ENSPNYG00000000430	0	0	0
ENSPNYG00000000431	1	0	1
ENSPNYG00000000432	1	0	1
ENSPNYG00000000433	14	3	22
ENSPNYG00000000434	0	0	1
ENSPNYG00000000435	2	3	3
ENSPNYG00000000436	0	1	0
ENSPNYG00000000437	0	0	0
ENSPNYG00000000438	0	0	0
ENSPNYG00000000439	0	0	0
ENSPNYG00000000440	0	0	0
ENSPNYG00000000441	17	12	7
ENSPNYG00000000442	0	0	2
ENSPNYG00000000443	42	33	47
ENSPNYG00000000444	0	0	0
ENSPNYG00000000445	9	7	12
ENSPNYG00000000446	3	0	3
ENSPNYG00000000447	0	0	0
ENSPNYG00000000448	2	1	1
ENSPNYG00000000449	2	0	0
ENSPNYG00000000450	38	30	13
ENSPNYG00000000451	0	0	0
ENSPNYG00000000452	2	2	2
ENSPNYG00000000453	5	5	2
ENSPNYG00000000454	0	0	0
ENSPNYG00000000455	0	0	0
ENSPNYG00000000456	904	698	1407
ENSPNYG00000000457	0	0	0
ENSPNYG00000000458	0	0	0
ENSPNYG00000000459	1	4	3
ENSPNYG00000000460	0	0	0
ENSPNYG00000000461	3	8	18
ENSPNYG00000000462	0	0	0
ENSPNYG00000000463	3	5	20
ENSPNYG00000000464	3	12	2
ENSPNYG00000000465	0	0	0
ENSPNYG00000000466	0	0	1
ENSPNYG00000000467	1	2	3
ENSPNYG00000000468	0	0	0
ENSPNYG00000000469	3	0	0
ENSPNYG00000000470	1	6	3
ENSPNYG00000000471	0	0	0
ENSPNYG00000000472	16487	31171	64061
ENSPNYG00000000473	5	0	7
ENSPNYG00000000474	1	4	1
ENSPNYG00000000475	2	0	4
ENSPNYG00000000476	0	0	0
ENSPNYG00000000477	0	0	0
ENSPNYG00000000478	1	4	1
ENSPNYG00000000479	1	0	0
ENSPNYG00000000480	1	0	1
ENSPNYG00000000481	0	0	0
ENSPNYG00000000482	5	10	22
ENSPNYG00000000483	12	8	19
ENSPNYG00000000484	9	48	109
ENSPNYG00000000485	2	0	2
ENSPNYG00000000486	0	0	1
ENSPNYG00000000487	0	1	0
ENSPNYG00000000488	2	3	5
ENSPNYG00000000489	14	2	8
ENSPNYG00000000490	0	0	0
ENSPNYG00000000491	4	0	4
ENSPNYG00000000492	2	5	1
ENSPNYG00000000493	1	0	0
ENSPNYG00000000494	1	0	1
ENSPNYG00000000495	0	0	1
ENSPNYG00000000496	216	32	102
ENSPNYG00000000497	0	0	0
ENSPNYG00000000498	4	0	7
ENSPNYG00000000499	4	4	1
ENSPNYG00000000500	7	4	1
ENSPNYG00000000501	4	0	0
ENSPNYG00000000502	0	0	0
ENSPNYG00000000503	2	3	3
ENSPNYG00000000504	4	8	9
ENSPNYG00000000505	0	0	0
ENSPNYG00000000506	0	0	4
ENSPNYG00000000507	2	1	0
ENSPNYG00000000508	0	1	0
