Gene	Ab_5_Eye	Ab_6_Eye
ENSHBUG00000000263	0	0
ENSHBUG00000000264	2	10
ENSHBUG00000000265	8	12
ENSHBUG00000000266	0	0
ENSHBUG00000000267	0	0
ENSHBUG00000000268	1	8
ENSHBUG00000000269	3	29
ENSHBUG00000000270	0	0
ENSHBUG00000000271	1	9
ENSHBUG00000000272	0	0
ENSHBUG00000000273	1	37
ENSHBUG00000000274	0	0
ENSHBUG00000000275	0	0
ENSHBUG00000000276	0	0
ENSHBUG00000000277	0	0
ENSHBUG00000000278	1	48
ENSHBUG00000000279	0	0
ENSHBUG00000000280	0	0
ENSHBUG00000000281	0	0
ENSHBUG00000000282	1	39
ENSHBUG00000000283	0	0
ENSHBUG00000000284	0	0
ENSHBUG00000000285	0	0
ENSHBUG00000000286	0	0
ENSHBUG00000000287	1	18
ENSHBUG00000000288	0	0
ENSHBUG00000000289	1	25
ENSHBUG00000000290	1	12
ENSHBUG00000000291	1450	1472
ENSHBUG00000000292	259	260
ENSHBUG00000000293	0	0
ENSHBUG00000000294	0	0
ENSHBUG00000000295	0	0
ENSHBUG00000000296	1	40
ENSHBUG00000000297	0	0
ENSHBUG00000000298	1	6
ENSHBUG00000000299	0	0
ENSHBUG00000000300	4	43
ENSHBUG00000000301	0	0
ENSHBUG00000000302	2	13
ENSHBUG00000000303	0	0
ENSHBUG00000000304	0	0
ENSHBUG00000000305	0	0
ENSHBUG00000000306	0	0
ENSHBUG00000000307	0	0
ENSHBUG00000000308	0	0
ENSHBUG00000000309	0	0
ENSHBUG00000000310	5	45
ENSHBUG00000000311	46	61
ENSHBUG00000000312	79	94
ENSHBUG00000000313	0	0
ENSHBUG00000000314	4	22
ENSHBUG00000000315	0	0
ENSHBUG00000000316	3	36
ENSHBUG00000000317	0	0
ENSHBUG00000000318	0	0
ENSHBUG00000000319	1	28
ENSHBUG00000000320	0	0
ENSHBUG00000000321	1	35
ENSHBUG00000000322	222	269
ENSHBUG00000000323	0	0
ENSHBUG00000000324	1	37
