Gene	Mz_1_Eye	Mz_2_Eye
ENSMZEG00005000403	0	0
ENSMZEG00005000404	2	4
ENSMZEG00005000405	9	5
ENSMZEG00005000406	0	1
ENSMZEG00005000407	0	0
ENSMZEG00005000408	1	3
ENSMZEG00005000409	62	11
ENSMZEG00005000410	0	0
ENSMZEG00005000411	11	2
ENSMZEG00005000412	0	0
ENSMZEG00005000413	1427	1178
ENSMZEG00005000414	28	40
ENSMZEG00005000415	0	0
ENSMZEG00005000416	1	1
ENSMZEG00005000417	1046	247
ENSMZEG00005000418	1	0
ENSMZEG00005000419	0	0
ENSMZEG00005000420	0	0
ENSMZEG00005000421	0	0
ENSMZEG00005000422	0	0
ENSMZEG00005000423	3	6
ENSMZEG00005000424	2	18
ENSMZEG00005000425	0	0
ENSMZEG00005000426	0	2
ENSMZEG00005000427	566	116
ENSMZEG00005000428	26	2
ENSMZEG00005000429	9	0
ENSMZEG00005000430	0	0
ENSMZEG00005000431	0	0
ENSMZEG00005000432	40	63
ENSMZEG00005000433	0	0
ENSMZEG00005000434	0	0
ENSMZEG00005000435	0	0
ENSMZEG00005000436	0	0
ENSMZEG00005000437	2	0
ENSMZEG00005000438	7	23
ENSMZEG00005000439	0	0
ENSMZEG00005000440	31	40
ENSMZEG00005000441	7	4
ENSMZEG00005000442	0	0
ENSMZEG00005000443	0	0
ENSMZEG00005000444	0	0
ENSMZEG00005000445	0	0
ENSMZEG00005000446	2	1
ENSMZEG00005000447	0	0
ENSMZEG00005000448	4	49
ENSMZEG00005000449	1	2
ENSMZEG00005000450	2	0
ENSMZEG00005000451	0	0
ENSMZEG00005000452	1	0
ENSMZEG00005000453	0	2
ENSMZEG00005000454	3	203
ENSMZEG00005000455	6	17
ENSMZEG00005000456	0	0
ENSMZEG00005000457	0	0
ENSMZEG00005000458	0	2
ENSMZEG00005000459	19	4
ENSMZEG00005000460	0	0
ENSMZEG00005000461	1	1
ENSMZEG00005000462	0	0
ENSMZEG00005000463	0	0
ENSMZEG00005000464	0	0
ENSMZEG00005000465	0	0
ENSMZEG00005000466	0	0
ENSMZEG00005000467	126	107
ENSMZEG00005000468	0	0
ENSMZEG00005000469	0	0
ENSMZEG00005000470	15	11
ENSMZEG00005000471	0	0
ENSMZEG00005000472	0	0
ENSMZEG00005000473	0	0
ENSMZEG00005000474	0	0
ENSMZEG00005000475	2	6
ENSMZEG00005000476	2	5
