Gene	Nb_4_Eye	Nb_5_Eye
ENSNBRG00000000335	0	0
ENSNBRG00000000336	1	26
ENSNBRG00000000337	0	0
ENSNBRG00000000338	0	0
ENSNBRG00000000339	0	0
ENSNBRG00000000340	0	0
ENSNBRG00000000341	0	0
ENSNBRG00000000342	0	0
ENSNBRG00000000343	0	0
ENSNBRG00000000344	0	0
ENSNBRG00000000345	0	0
ENSNBRG00000000346	0	0
ENSNBRG00000000347	0	0
ENSNBRG00000000348	0	0
ENSNBRG00000000349	0	0
ENSNBRG00000000350	0	0
ENSNBRG00000000351	0	0
ENSNBRG00000000352	0	0
ENSNBRG00000000353	0	0
ENSNBRG00000000354	0	0
ENSNBRG00000000355	0	0
ENSNBRG00000000356	0	0
ENSNBRG00000000357	20	61
ENSNBRG00000000358	0	0
ENSNBRG00000000359	0	0
ENSNBRG00000000360	0	0
ENSNBRG00000000361	0	0
ENSNBRG00000000362	11	20
ENSNBRG00000000363	29	30
ENSNBRG00000000364	0	0
ENSNBRG00000000365	11	48
ENSNBRG00000000366	0	0
ENSNBRG00000000367	67	99
ENSNBRG00000000368	0	0
ENSNBRG00000000369	0	0
ENSNBRG00000000370	0	0
ENSNBRG00000000371	0	0
ENSNBRG00000000372	0	0
ENSNBRG00000000373	0	0
ENSNBRG00000000374	0	0
ENSNBRG00000000375	0	0
ENSNBRG00000000376	0	0
ENSNBRG00000000377	0	0
ENSNBRG00000000378	0	0
ENSNBRG00000000379	0	0
ENSNBRG00000000380	83	116
ENSNBRG00000000381	0	0
ENSNBRG00000000382	0	0
ENSNBRG00000000383	0	0
ENSNBRG00000000384	0	0
ENSNBRG00000000385	0	0
ENSNBRG00000000386	0	0
ENSNBRG00000000387	0	0
ENSNBRG00000000388	0	0
ENSNBRG00000000389	20	29
ENSNBRG00000000390	0	0
ENSNBRG00000000391	0	0
ENSNBRG00000000392	0	0
ENSNBRG00000000393	0	0
ENSNBRG00000000394	0	0
ENSNBRG00000000395	0	0
ENSNBRG00000000396	0	0
ENSNBRG00000000397	0	0
ENSNBRG00000000398	0	0
ENSNBRG00000000399	0	0
ENSNBRG00000000400	0	0
ENSNBRG00000000401	53	86
ENSNBRG00000000402	0	0
ENSNBRG00000000403	0	0
ENSNBRG00000000404	0	0
ENSNBRG00000000405	0	0
ENSNBRG00000000406	0	0
ENSNBRG00000000407	28	47
ENSNBRG00000000408	18	39
ENSNBRG00000000409	0	0
ENSNBRG00000000410	0	0
ENSNBRG00000000411	0	0
ENSNBRG00000000412	0	0
ENSNBRG00000000413	0	0
ENSNBRG00000000414	0	0
ENSNBRG00000000415	0	0
ENSNBRG00000000416	49	83
ENSNBRG00000000417	0	0
ENSNBRG00000000418	0	0
ENSNBRG00000000419	0	0
ENSNBRG00000000420	0	0
ENSNBRG00000000421	0	0
ENSNBRG00000000422	0	0
ENSNBRG00000000423	0	0
ENSNBRG00000000424	0	0
ENSNBRG00000000425	0	0
ENSNBRG00000000426	0	0
ENSNBRG00000000427	0	0
ENSNBRG00000000428	0	0
