Gene	On_1_Eye	On_2_Eye	On_3_Eye
ENSONIG00000000441	0	0	0
ENSONIG00000000442	5	3	46
ENSONIG00000000444	0	0	0
ENSONIG00000000445	0	0	0
ENSONIG00000000447	7	8	16
ENSONIG00000000448	0	1	2
ENSONIG00000000449	8	4	11
ENSONIG00000000450	133	52	68
ENSONIG00000000451	1	0	3
ENSONIG00000000452	2	1	26
ENSONIG00000000456	1	8	15
ENSONIG00000000457	10	9	19
ENSONIG00000000458	0	0	0
ENSONIG00000000459	0	0	0
ENSONIG00000000460	1	0	12
ENSONIG00000000461	0	1	7
ENSONIG00000000462	0	7	29
ENSONIG00000000464	4	2	80
ENSONIG00000000465	4	0	21
ENSONIG00000000466	0	1	108
ENSONIG00000000467	5	2	22
ENSONIG00000000468	3	2	56
ENSONIG00000000469	0	0	1
ENSONIG00000000470	0	0	8
ENSONIG00000000471	0	0	2
ENSONIG00000000472	1	1	1
ENSONIG00000000473	0	1	5
ENSONIG00000000474	1	0	6
ENSONIG00000000475	3	53	138
ENSONIG00000000476	0	0	2
ENSONIG00000000477	0	2	9
ENSONIG00000000478	0	0	0
ENSONIG00000000479	1	16	36
ENSONIG00000000480	0	1	6
ENSONIG00000000481	0	0	0
ENSONIG00000000482	0	0	1
ENSONIG00000000483	50	31	44
ENSONIG00000000485	0	0	2
ENSONIG00000000486	1	3	21
ENSONIG00000000487	13	4	0
ENSONIG00000000488	0	0	18
ENSONIG00000000489	25	1	18
ENSONIG00000000490	4	1	17
ENSONIG00000000491	1	4	41
ENSONIG00000000492	0	0	5
ENSONIG00000000493	5	0	15
ENSONIG00000000495	5	0	6
ENSONIG00000000496	11	0	59
ENSONIG00000000497	1	4	0
ENSONIG00000000498	0	0	9
ENSONIG00000000499	2	1	0
ENSONIG00000000500	8	4	44
ENSONIG00000000502	25	17	43
ENSONIG00000000503	0	0	0
ENSONIG00000000504	0	0	0
ENSONIG00000000505	3	8	11
ENSONIG00000000506	1	0	1
ENSONIG00000000507	0	1	7
ENSONIG00000000508	0	0	3
ENSONIG00000000509	7	22	36
